,url,type,species,age,gender,size,coat,name,published_at,distance,breeds.primary,breeds.secondary,breeds.mixed,breeds.unknown,colors.primary,colors.secondary,colors.tertiary,attributes.house_trained,attributes.special_needs,attributes.shots_current,environment.children,environment.dogs,environment.cats,primary_photo_cropped.full,contact.address.address1,contact.address.address2,contact.address.city,contact.address.state,contact.address.postcode,animal_id,search_address,search_city,search_state
308,https://www.petfinder.com/dog/nani-52319285/ca/san-bernardino/cause-for-san-bernardino-paws-ca2330/?referrer_id=0ce78444-a227-4105-bd6e-54a75777fb7a,Dog,Dog,Young,Female,Small,0,Nani,2021-07-12T01:51:52+0000,308.0821,Chihuahua,Miniature Pinscher,True,False,0,0,0,False,False,True,True,True,True,0,0,0,San Bernardino,CA,92407,52319285,0,+San+Bernardino,+CA
309,https://www.petfinder.com/dog/chuyi-52319194/ca/west-hollywood/shelby-shelter-tx1588/?referrer_id=0ce78444-a227-4105-bd6e-54a75777fb7a,Dog,Dog,Adult,Female,Small,0,Chuyi,2021-07-12T01:45:21+0000,363.4545,Poodle,0,False,False,0,0,0,True,False,True,False,False,False,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52319194/1/crop/?bust=1626054289,0,0,West Hollywood,CA,90069,52319194,0,+West+Hollywood,+CA
310,https://www.petfinder.com/dog/morty-52319252/nv/las-vegas/the-animal-foundation-nv26/?referrer_id=0ce78444-a227-4105-bd6e-54a75777fb7a,Dog,Dog,Baby,Male,Small,0,MORTY,2021-07-12T01:42:24+0000,254.2991,Great Dane,0,True,False,0,0,0,False,False,False,0,0,0,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52319252/1/?bust=1626054748,655 N. Mojave,0,Las Vegas,NV,89101,52319252,655+N.+Mojave,+Las+Vegas,+NV
311,https://www.petfinder.com/dog/titan-52319251/az/phoenix/mcacc-west-valley-animal-care-center-az101/?referrer_id=0ce78444-a227-4105-bd6e-54a75777fb7a,Dog,Dog,Young,Male,Large,0,TITAN,2021-07-12T01:42:24+0000,2.0004,Bull Terrier,0,False,False,0,0,0,False,False,False,0,0,0,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52319251/1/?bust=1626054748,2500 S. 27th Avenue,(27th and Durango),Phoenix,AZ,85009,52319251,2500+S.+27th+Avenue,+Phoenix,+AZ
312,https://www.petfinder.com/dog/charlie-52319250/az/phoenix/mcacc-west-valley-animal-care-center-az101/?referrer_id=0ce78444-a227-4105-bd6e-54a75777fb7a,Dog,Dog,Adult,Female,Large,0,CHARLIE,2021-07-12T01:42:24+0000,2.0004,German Shepherd Dog,0,False,False,0,0,0,False,False,False,0,0,0,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52319250/1/?bust=1626054749,2500 S. 27th Avenue,(27th and Durango),Phoenix,AZ,85009,52319250,2500+S.+27th+Avenue,+Phoenix,+AZ
313,https://www.petfinder.com/dog/a4606142-52319249/az/phoenix/mcacc-west-valley-animal-care-center-az101/?referrer_id=0ce78444-a227-4105-bd6e-54a75777fb7a,Dog,Dog,Adult,Male,Large,0,A4606142,2021-07-12T01:42:24+0000,2.0004,Pit Bull Terrier,English Bulldog,True,False,0,0,0,False,False,False,0,0,0,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52319249/1/?bust=1626054750,2500 S. 27th Avenue,(27th and Durango),Phoenix,AZ,85009,52319249,2500+S.+27th+Avenue,+Phoenix,+AZ
314,https://www.petfinder.com/dog/zhuangzhuang-52315074/ca/west-hollywood/shelby-shelter-tx1588/?referrer_id=0ce78444-a227-4105-bd6e-54a75777fb7a,Dog,Dog,Adult,Male,Medium,Medium,ZhuangZhuang,2021-07-12T01:32:47+0000,363.4545,Newfoundland Dog,0,False,False,0,0,0,True,False,True,True,True,0,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52315074/1/?bust=1626022844,0,0,West Hollywood,CA,90069,52315074,0,+West+Hollywood,+CA
315,https://www.petfinder.com/dog/giselle-52318579/nm/williamsburg/desert-haven-animal-refuge-nm09/?referrer_id=0ce78444-a227-4105-bd6e-54a75777fb7a,Dog,Dog,Adult,Female,Medium,Short,Giselle,2021-07-12T01:32:36+0000,278.3799,Boxer,Mixed Breed,True,False,Black,Golden,White / Cream,True,False,True,0,True,0,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52318579/5/?bust=1626047464,HC 31 Box 42,0,Williamsburg,NM,87942,52318579,HC+31+Box+42,+Williamsburg,+NM
316,https://www.petfinder.com/dog/mia-black-lab-52319134/ca/tustin/girls-of-dog-rescue-ca2715/?referrer_id=0ce78444-a227-4105-bd6e-54a75777fb7a,Dog,Dog,Adult,Female,Medium,Short,Mia Black Lab,2021-07-12T01:31:20+0000,329.5776,Labrador Retriever,Pit Bull Terrier,True,False,Black,0,0,True,False,False,True,True,True,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52319134/1/?bust=1626052941,0,0,Tustin,CA,92780,52319134,0,+Tustin,+CA
317,https://www.petfinder.com/dog/rocco-52319077/az/phoenix/povertys-pets-az330/?referrer_id=0ce78444-a227-4105-bd6e-54a75777fb7a,Dog,Dog,Baby,Male,Small,Curly,Rocco,2021-07-12T01:27:40+0000,1.3217,Poodle,Dachshund,True,False,White / Cream,0,0,False,False,True,True,True,True,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52319077/6/?bust=1626053233,PO Box 40122,0,Phoenix,AZ,85067,52319077,0,+Phoenix,+AZ
